band_id,drought_survival,body_mass_g,wing_length_mm,tarsus_length_mm,beak_length_mm,beak_depth_mm,beak_width_mm
9,nonsurvivor,14.5,67,18,9.2,8.3,8.1
12,nonsurvivor,13.5,66,18.3,9.5,7.5,7.5
276,nonsurvivor,16.44,64.19,18.47,9.93,8,7.6
278,nonsurvivor,18.54,67.19,19.27,11.13,10.6,9.4
283,nonsurvivor,17.44,70.19,19.27,12.13,11.2,9.5
288,nonsurvivor,16.34,71.19,20.27,10.63,9.1,8.8
293,nonsurvivor,15.74,67.19,17.57,9.93,9.5,8.9
294,nonsurvivor,16.84,68.19,18.17,11.33,10.5,9.1
298,nonsurvivor,15.54,68.19,18.57,9.93,8.4,8.2
307,nonsurvivor,17.5,70,20,11.1,8.6,8.4
311,nonsurvivor,15,67,18.4,10.8,9.2,8.5
315,nonsurvivor,17,70,19.9,9.7,8.8,8.7
321,nonsurvivor,15,66,19.1,10.6,8.5,8.1
342,nonsurvivor,15,66,18.4,9.6,8,8.7
343,nonsurvivor,15,67,18,10.5,9.7,8.5
345,nonsurvivor,16.5,67,20.1,9.9,8.4,8.8
346,nonsurvivor,13,64,17.6,9.6,7.9,7.4
347,nonsurvivor,16,71,19.6,10.7,9.3,8.4
352,nonsurvivor,13.5,65,18.4,9.3,7.7,7.8
356,nonsurvivor,16,69,18.5,10.1,8.5,8.1
413,nonsurvivor,14,65,17.9,9.7,8.2,7.9
420,nonsurvivor,15,65,19.8,11,9.7,9.1
422,nonsurvivor,19,70,19.4,11,10.3,9.1
428,nonsurvivor,17,72,20.1,11.6,10.2,9
452,nonsurvivor,15,68,20,10.5,8.9,8.5
456,nonsurvivor,16.5,68.9,18.5,10.2,9.6,8.7
457,nonsurvivor,14.75,64.2,17.05,9.7,7.85,7.55
458,nonsurvivor,16,73,19.6,11.1,9.6,8.9
461,nonsurvivor,17,68,20,11.1,9.8,8.6
462,nonsurvivor,15,68,19.6,10.2,8.8,8.2
468,nonsurvivor,16,68,19,10.8,9,8.2
503,nonsurvivor,14.5,65,18.9,10,9.1,8.6
506,nonsurvivor,17,69,18.6,11.1,9.2,8.9
507,nonsurvivor,16,70,19,10.3,8.8,8.1
509,nonsurvivor,17,70,20,11.1,9.2,9
511,nonsurvivor,14.5,66,19.1,10.5,8.8,8.5
512,nonsurvivor,15.5,67,20.3,11,9.4,8.7
519,nonsurvivor,14.5,67,19.1,10,8.3,7.9
522,nonsurvivor,15.5,66,18.2,10.3,8.4,8
561,nonsurvivor,16.5,70,20,11.7,10.2,8.9
564,nonsurvivor,14,66,18.8,10.2,9.3,8.2
605,nonsurvivor,15.5,71,19.9,10.9,10.2,8.9
609,nonsurvivor,16.5,69,19.6,11.9,10.5,9
610,nonsurvivor,14,66,18.8,10.2,9,8.3
611,nonsurvivor,16,66,18.9,10.5,9.8,9.1
619,nonsurvivor,14,65,18,10.5,9.3,8.5
621,nonsurvivor,15.5,67,18.5,9.8,7.6,7.8
674,nonsurvivor,18.5,70,20.5,11.8,10.5,9.3
676,nonsurvivor,17,72,20,11,9.7,8.9
687,nonsurvivor,14,66,18.9,10.3,8.6,7.8
309,survivor,18,71,20.2,11.5,9.8,9.2
560,survivor,14,67,19.1,10.2,8.5,8.2
572,survivor,18,70,20.2,12.1,10.3,9.2
618,survivor,17.5,68,20.7,11.6,9.9,8.8
623,survivor,15,67,19,10.3,8.8,8.3
673,survivor,18,72,19,11.4,10.1,9.3
685,survivor,14.5,67,18,8.7,8.2,8
891,survivor,15,65,18.6,9.9,8,7.9
931,survivor,14.5,65,19.6,10.2,8.9,8.1
943,survivor,15,66,19.3,10.3,9.1,8.3
1452,survivor,16.24,68.19,18.47,11.43,9.8,8.5
1477,survivor,17.34,70.19,20.57,11.93,10.1,9.5
1528,survivor,17.09,68.19,19.32,11.03,8.55,8.1
1587,survivor,17.64,72.19,20.57,10.63,9.3,9
1592,survivor,17.24,71.19,18.87,10.83,10,9.6
1599,survivor,18.04,72.19,19.77,11.23,10.7,9.3
1635,survivor,15.84,68.19,20.07,11.23,9.1,8.1
1643,survivor,15.24,65.19,20.17,10.23,8.8,8.4
1850,survivor,16.14,66.19,19.07,11.63,10.4,8.9
1861,survivor,20.19,72.69,19.32,12.23,10.7,9.95
1884,survivor,16.24,67.69,17.97,11.03,9.15,8.55
1919,survivor,21.24,72.19,19.47,11.13,11.2,9.4
2206,survivor,17.44,72.19,20.07,10.93,10.5,8.9
2211,survivor,16.94,70.19,19.27,11.03,9.7,8.8
2226,survivor,14.74,65.19,18.27,10.23,8.9,8.3
2887,survivor,17.34,69.19,19.07,11.33,10.1,9.4
8136,survivor,15.54,68.19,18.07,10.03,8.9,8
616,survivor,19,70,20,10.7,9.6,8.8
1248,survivor,15.4,66,19.5,10,8.5,8.3
2210,survivor,16.34,68.01,18.96,12.43,10.08,8.54
2242,survivor,15.41,72.94,18.26,11.09,9.45,8.03
2939,survivor,15.37,67.95,19.41,9.63,8.31,7.72
354,survivor,17.5,67,20.3,11.6,9.8,9.1
678,survivor,16.5,71,18.2,11.3,9.7,8.3
1418,survivor,17.94,71.01,18.76,12.13,10.38,9.24
1426,survivor,21.22,71.45,21.01,12.03,10.61,10.07
1527,survivor,17.04,68.01,18.46,10.63,8.38,8.14
1659,survivor,17.74,71.01,19.16,11.83,10.78,9.34
2244,survivor,18.87,71.95,20.16,12.43,11.01,9.77
2249,survivor,18.44,74.01,20.06,12.73,10.68,9.74
2940,survivor,15.14,70.01,17.86,10.33,8.78,8.14
3642,survivor,17.84,71.01,19.16,11.03,10.28,9.04
8191,survivor,19.63,70.41,20.81,12.53,10.86,9.62
1019,survivor,20.82,70.45,19.86,12.13,11.21,9.87
1372,survivor,16.64,69.01,18.16,10.43,9.48,8.54
1797,survivor,16.67,69.45,19.21,10.53,9.31,8.37
2378,survivor,18.07,70.95,21.06,11.23,9.86,8.67
8190,survivor,15.6,69.47,18.36,11.23,9.28,8.24
316,survivor,17.55,67.5,19.55,10.9,9.85,9.2
710,survivor,15,69,19,10.5,10,8.7
